name,city,state,state_full,type,tags,location_source,description
Side Bar Games,Brisbane,QLD,Queensland,Studio,Console,fgfactory_new,
Mighty Kingdom,Adelaide,SA,South Australia,Studio,PC|Mobile,fgfactory_new,
Foxie Ventures,Adelaide,SA,South Australia,Studio,Mobile,fgfactory_new,
Odd Games,Adelaide,SA,South Australia,Studio,Mobile,fgfactory_new,
Uppercut Games,Canberra,ACT,Australian Capital Territory,Studio,Console|PC|Mobile,fgfactory_new,
Toast Interactive,Gold Coast,QLD,Queensland,Studio,VR|PC,fgfactory_new,
Fgfactory Australia,Melbourne,VIC,Victoria,Service,Mobile|Web|Desktop,fgfactory_new,
Art Of Play,Melbourne,VIC,Victoria,Service,Console|HTML5,fgfactory_new,
Next-Gen Dreams 3D,Melbourne,VIC,Victoria,Service,PC,fgfactory_new,
Ultimerse,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Lode,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Od1n Studios,Melbourne,VIC,Victoria,Service,VR,fgfactory_new,
Chaos Theory Games,Sydney,NSW,New South Wales,Service,PC,fgfactory_new,
Noble Steed Games,Sydney,NSW,New South Wales,Service,Promo|Educational,fgfactory_new,
Mode Games,Sydney,NSW,New South Wales,Service,Mobile|Educational,fgfactory_new,
Real Serious Games,Brisbane,QLD,Queensland,Service,XR,fgfactory_new,
Emerge Worlds,Brisbane,QLD,Queensland,Service,VR,fgfactory_new,
Monkey Stack,Adelaide,SA,South Australia,Service,Gamified Apps,fgfactory_new,
Secret Lab,Hobart,TAS,Tasmania,Service,Adventure|Educational,fgfactory_new,
